order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI0001,O0001,P001,1,129999,3.85,124999
OI0002,O0002,P002,1,79999,0,79999
OI0003,O0003,P007,1,14999,3.33,14499
OI0004,O0004,P008,1,3999,0,3999
OI0005,O0005,P005,1,29999,6.67,27999
OI0006,O0006,P010,1,8999,0,8999
OI0007,O0007,P003,1,114999,8.70,104999
OI0008,O0008,P006,1,12999,0,12999
OI0009,O0009,P009,1,64999,7.69,59999
OI0010,O0010,P014,1,2999,0,2999
OI0011,O0011,P015,1,1299,0,1299
OI0012,O0012,P011,1,54999,5.45,51999
OI0013,O0013,P004,1,149999,0,149999
OI0014,O0014,P012,1,499,0,499
OI0015,O0015,P013,1,599,0,599
OI0016,O0016,P007,1,14999,6.67,13999
OI0017,O0017,P001,1,129999,6.15,121999
OI0018,O0018,P002,1,79999,6.25,74999
OI0019,O0019,P010,1,8999,0,8999
OI0020,O0020,P005,1,29999,0,29999
OI0021,O0021,P011,1,54999,7.27,50999
OI0022,O0022,P006,1,12999,0,12999
OI0023,O0023,P008,1,3999,5.00,3799
OI0024,O0024,P014,1,2999,0,2999
OI0025,O0025,P015,1,1299,0,1299
